Symbol,Name,Assets
AAPL,Apple Inc.,9.46%
MSFT,Microsoft Corporation,8.60%
AMZN,"Amazon.com, Inc.",4.91%
AVGO,Broadcom Inc.,4.18%
META,Meta Platforms Inc. Class A,3.85%
NVDA,NVIDIA Corporation,3.71%
TSLA,"Tesla, Inc.",3.71%
GOOGL,Alphabet Inc. Class A,2.56%
GOOG,Alphabet Inc. Class C,2.50%
COST,Costco Wholesale Corporation,2.36%
ADBE,Adobe Incorporated,2.19%
PEP,"PepsiCo, Inc.",1.84%
AMD,"Advanced Micro Devices, Inc.",1.76%
NFLX,"Netflix, Inc.",1.73%
CSCO,"Cisco Systems, Inc.",1.63%
AAPL,Apple Inc.,22.26%
MSFT,Microsoft Corporation,20.91%
NVDA,NVIDIA Corporation,4.16%
AVGO,Broadcom Inc.,3.36%
ADBE,Adobe Incorporated,2.27%
CRM,"Salesforce, Inc.",2.01%
ACN,Accenture Plc Class A,1.72%
CSCO,"Cisco Systems, Inc.",1.61%
AMD,"Advanced Micro Devices, Inc.",1.61%
ORCL,Oracle Corporation,1.57%
INTC,Intel Corporation,1.54%
INTU,Intuit Inc.,1.32%
IBM,International Business Machines Corporation,1.20%
QCOM,QUALCOMM Incorporated,1.19%
NOW,"ServiceNow, Inc.",1.16%
AAPL,Apple Inc.,22.29%
MSFT,Microsoft Corporation,22.09%
AVGO,Broadcom Inc.,5.23%
NVDA,NVIDIA Corporation,4.53%
ADBE,Adobe Incorporated,2.98%
CRM,"Salesforce, Inc.",2.78%
AMD,"Advanced Micro Devices, Inc.",2.45%
ACN,Accenture Plc Class A,2.32%
CSCO,"Cisco Systems, Inc.",2.20%
INTC,Intel Corporation,2.13%
INTU,Intuit Inc.,1.89%
ORCL,Oracle Corporation,1.83%
QCOM,QUALCOMM Incorporated,1.73%
TXN,Texas Instruments Incorporated,1.66%
IBM,International Business Machines Corporation,1.60%
N/A,U.S. Dollar,35.11%
N/A,United States Treasury Bills 0.0% 04-APR-2024,6.95%
AAPL,Apple Inc.,2.82%
N/A,United States Treasury Bills 0.0% 21-MAR-2024,2.58%
MSFT,Microsoft Corporation,2.56%
N/A,United States Treasury Bills 0.0% 13-JUN-2024,2.55%
N/A,United States Treasury Bills 0.0% 08-FEB-2024,2.33%
N/A,United States Treasury Bills 0.0% 04-JAN-2024,1.82%
N/A,United States Treasury Bills 0.0% 05-MAR-2024,1.81%
N/A,United States Treasury Bills 0.0% 18-APR-2024,1.80%
N/A,United States Treasury Bills 0.0% 13-FEB-2024,1.71%
N/A,United States Treasury Bills 0.0% 25-JAN-2024,1.56%
AMZN,"Amazon.com, Inc.",1.46%
N/A,United States Treasury Bills 0.0% 09-JAN-2024,1.30%
N/A,United States Treasury Bills 0.0% 22-FEB-2024,1.29%
AAPL,Apple Inc.,15.12%
MSFT,Microsoft Corporation,14.98%
AMZN,"Amazon.com, Inc.",7.38%
NVDA,NVIDIA Corporation,4.42%
GOOGL,Alphabet Inc. Class A,4.39%
META,Meta Platforms Inc. Class A,4.01%
GOOG,Alphabet Inc. Class C,3.69%
TSLA,"Tesla, Inc.",3.24%
LLY,Eli Lilly and Company,2.84%
V,Visa Inc. Class A,2.27%
MA,Mastercard Incorporated Class A,1.90%
COST,Costco Wholesale Corporation,1.48%
ADBE,Adobe Incorporated,1.46%
MCD,McDonald\'s Corporation,1.15%
ACN,Accenture Plc Class A,1.13%
META,Meta Platforms Inc. Class A,23.38%
GOOGL,Alphabet Inc. Class A,12.14%
GOOG,Alphabet Inc. Class C,10.32%
NFLX,"Netflix, Inc.",4.74%
CMCSA,Comcast Corporation Class A,4.61%
CHTR,"Charter Communications, Inc. Class A",4.57%
DIS,Walt Disney Company,4.40%
EA,Electronic Arts Inc.,4.39%
TMUS,"T-Mobile US, Inc.",4.33%
VZ,Verizon Communications Inc.,4.27%
T,AT&T Inc.,4.26%
WBD,"Warner Bros. Discovery, Inc. Series A",3.69%
TTWO,"Take-Two Interactive Software, Inc.",3.39%
OMC,Omnicom Group Inc,2.31%
LYV,"Live Nation Entertainment, Inc.",1.81%
AAPL,Apple Inc.,17.41%
MSFT,Microsoft Corporation,16.74%
GOOGL,Alphabet Inc. Class A,5.23%
NVDA,NVIDIA Corporation,4.54%
GOOG,Alphabet Inc. Class C,4.46%
META,Meta Platforms Inc. Class A,3.86%
AVGO,Broadcom Inc.,3.52%
ADBE,Adobe Incorporated,2.63%
CRM,"Salesforce, Inc.",2.55%
AMD,"Advanced Micro Devices, Inc.",2.25%
INTC,Intel Corporation,2.00%
INTU,Intuit Inc.,1.74%
ORCL,Oracle Corporation,1.66%
QCOM,QUALCOMM Incorporated,1.62%
TXN,Texas Instruments Incorporated,1.55%
NVDA,NVIDIA Corporation,19.53%
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",9.04%
AVGO,Broadcom Inc.,6.21%
AMD,"Advanced Micro Devices, Inc.",5.37%
INTC,Intel Corporation,5.06%
ASML,ASML Holding NV ADR,4.82%
LRCX,Lam Research Corporation,4.53%
AMAT,"Applied Materials, Inc.",4.52%
QCOM,QUALCOMM Incorporated,4.44%
ADI,"Analog Devices, Inc.",4.42%
TXN,Texas Instruments Incorporated,4.35%
SNPS,"Synopsys, Inc.",3.96%
MU,"Micron Technology, Inc.",3.76%
KLAC,KLA Corporation,3.58%
CDNS,"Cadence Design Systems, Inc.",3.31%
AVGO,Broadcom Inc.,8.90%
AMD,"Advanced Micro Devices, Inc.",8.29%
NVDA,NVIDIA Corporation,7.63%
QCOM,QUALCOMM Incorporated,6.48%
INTC,Intel Corporation,6.10%
NXPI,NXP Semiconductors NV,4.05%
TXN,Texas Instruments Incorporated,4.01%
ON,ON Semiconductor Corporation,3.99%
MCHP,Microchip Technology Incorporated,3.94%
LRCX,Lam Research Corporation,3.91%
ADI,"Analog Devices, Inc.",3.89%
AMAT,"Applied Materials, Inc.",3.89%
KLAC,KLA Corporation,3.84%
MU,"Micron Technology, Inc.",3.83%
MRVL,"Marvell Technology, Inc.",3.83%
COIN,"Coinbase Global, Inc. Class A",11.14%
PATH,"UiPath, Inc. Class A",7.35%
TSLA,"Tesla, Inc.",7.34%
ROKU,"Roku, Inc. Class A",6.89%
ZM,"Zoom Video Communications, Inc. Class A",6.71%
SQ,"Block, Inc. Class A",6.59%
RBLX,Roblox Corp. Class A,4.24%
TWLO,"Twilio, Inc. Class A",4.09%
CRSP,CRISPR Therapeutics AG,4.03%
U,"Unity Software, Inc.",3.71%
SHOP,"Shopify, Inc. Class A",3.08%
HOOD,"Robinhood Markets, Inc. Class A",3.03%
DKNG,"DraftKings, Inc. Class A",2.98%
TDOC,"Teladoc Health, Inc.",2.88%
NTLA,"Intellia Therapeutics, Inc.",2.64%
AVGO,Broadcom Inc.,8.18%
N/A,U.S. Dollar,8.03%
AMD,"Advanced Micro Devices, Inc.",7.63%
NVDA,NVIDIA Corporation,7.02%
QCOM,QUALCOMM Incorporated,5.96%
INTC,Intel Corporation,5.61%
NXPI,NXP Semiconductors NV,3.72%
TXN,Texas Instruments Incorporated,3.69%
ON,ON Semiconductor Corporation,3.67%
MCHP,Microchip Technology Incorporated,3.62%
LRCX,Lam Research Corporation,3.60%
AMAT,"Applied Materials, Inc.",3.57%
ADI,"Analog Devices, Inc.",3.57%
MU,"Micron Technology, Inc.",3.53%
KLAC,KLA Corporation,3.53%
AAPL,Apple Inc.,21.99%
MSFT,Microsoft Corporation,20.40%
NVDA,NVIDIA Corporation,4.21%
AVGO,Broadcom Inc.,4.01%
ADBE,Adobe Incorporated,2.19%
CRM,"Salesforce, Inc.",2.07%
AMD,"Advanced Micro Devices, Inc.",1.78%
ACN,Accenture Plc Class A,1.70%
CSCO,"Cisco Systems, Inc.",1.62%
INTC,Intel Corporation,1.55%
INTU,Intuit Inc.,1.39%
ORCL,Oracle Corporation,1.36%
QCOM,QUALCOMM Incorporated,1.27%
TXN,Texas Instruments Incorporated,1.21%
IBM,International Business Machines Corporation,1.17%
CRM,"Salesforce, Inc.",8.64%
MSFT,Microsoft Corporation,8.25%
ADBE,Adobe Incorporated,8.09%
INTU,Intuit Inc.,7.51%
ORCL,Oracle Corporation,7.20%
NOW,"ServiceNow, Inc.",4.41%
PANW,"Palo Alto Networks, Inc.",4.21%
SNPS,"Synopsys, Inc.",3.78%
CDNS,"Cadence Design Systems, Inc.",3.32%
CRWD,"CrowdStrike Holdings, Inc. Class A",2.59%
ROP,"Roper Technologies, Inc.",2.57%
WDAY,"Workday, Inc. Class A",2.52%
ADSK,"Autodesk, Inc.",2.28%
TEAM,Atlassian Corp Class A,1.66%
FTNT,"Fortinet, Inc.",1.65%
AMZN,"Amazon.com, Inc.",9.43%
META,Meta Platforms Inc. Class A,7.70%
GOOGL,Alphabet Inc. Class A,5.34%
CRM,"Salesforce, Inc.",5.05%
NFLX,"Netflix, Inc.",4.81%
CSCO,"Cisco Systems, Inc.",4.56%
GOOG,Alphabet Inc. Class C,4.54%
PYPL,"PayPal Holdings, Inc.",3.10%
SNOW,"Snowflake, Inc. Class A",3.07%
ANET,"Arista Networks, Inc.",3.01%
ABNB,"Airbnb, Inc. Class A",2.99%
WDAY,"Workday, Inc. Class A",2.82%
TEAM,Atlassian Corp Class A,2.67%
DDOG,Datadog Inc Class A,2.42%
DASH,"DoorDash, Inc. Class A",2.17%
N/A,U.S. Dollar,25.38%
AAPL,Apple Inc.,6.08%
MSFT,Microsoft Corporation,5.53%
AMZN,"Amazon.com, Inc.",3.16%
AVGO,Broadcom Inc.,2.69%
META,Meta Platforms Inc. Class A,2.48%
NVDA,NVIDIA Corporation,2.39%
TSLA,"Tesla, Inc.",2.39%
GOOGL,Alphabet Inc. Class A,1.64%
GOOG,Alphabet Inc. Class C,1.61%
COST,Costco Wholesale Corporation,1.52%
ADBE,Adobe Incorporated,1.41%
N/A,United States Treasury Bills 0.0% 28-MAR-2024,1.35%
PEP,"PepsiCo, Inc.",1.18%
